,State,Year,Quarter,District,Transaction_Count,Transaction_Amount
100,assam,2020,2,lakhimpur district,272571,350989858.66494405
101,assam,2020,2,kamrup district,461735,696378364.1282135
102,assam,2020,2,kokrajhar district,172597,308298837.3237574
103,assam,2020,2,karbi anglong district,183647,292585692.4231733
104,assam,2020,2,sivasagar district,220014,286719380.2356086
105,assam,2020,2,dibrugarh district,447580,678491572.8304845
106,assam,2020,2,south salmara mancachar district,83003,196672059.63422558
107,assam,2020,2,nagaon district,521404,889592664.4056509
108,assam,2020,2,dhubri district,279128,458359612.4548876
109,assam,2020,2,golaghat district,290221,381486790.01234204
110,assam,2020,2,udalguri district,166432,268857082.80588436
111,assam,2020,2,majuli district,40396,51674787.72689781
112,assam,2020,2,sonitpur district,510820,899403354.2732959
113,assam,2020,2,hojai district,172987,285298432.07494795
114,assam,2020,2,marigaon district,240281,429689787.586447
115,assam,2020,2,chirang district,112936,166769974.12251493
116,assam,2020,2,cachar district,448258,671325302.7518412
117,assam,2020,2,nalbari district,198498,254116361.12580383
118,assam,2020,2,west karbi anglong district,42806,49256668.874245055
119,assam,2020,2,dhemaji district,205941,328331122.2696053
120,assam,2020,2,karimganj district,219675,348307355.5519594
121,assam,2020,2,bongaigaon district,215359,339332330.9810649
122,assam,2020,2,dima hasao district,90255,143371839.6172748
123,assam,2020,2,baksa district,220877,363494158.45049345
124,assam,2020,2,charaideo district,132136,187405994.2347428
125,assam,2020,2,darrang district,191116,334935860.5953754
126,assam,2020,2,kamrup metropolitan district,2543890,7190215278.036328
127,assam,2020,2,hailakandi district,145539,214091717.66001353
128,assam,2020,2,barpeta district,519590,967512954.9444927
129,assam,2020,2,goalpara district,261762,485118707.4615322
130,assam,2020,2,biswanath district,166278,223505041.45463598
131,assam,2020,2,jorhat district,306847,406689798.01641923
132,assam,2020,4,tinsukia district,543941,1209737013.9697673
133,assam,2020,4,lakhimpur district,304251,620709324.0849249
134,assam,2020,4,kamrup district,557203,1271039293.2521
135,assam,2020,4,kokrajhar district,209653,522575460.2813618
136,assam,2020,4,karbi anglong district,229991,548523247.5679932
137,assam,2020,4,sivasagar district,259736,561002521.458745
138,assam,2020,4,dibrugarh district,631601,1479167066.8054302
139,assam,2020,4,south salmara mancachar district,111015,338306352.61497504
140,assam,2020,4,nagaon district,667880,1665021995.8192074
141,assam,2020,4,dhubri district,337623,874322425.3902972
142,assam,2020,4,golaghat district,337771,687756877.7912595
143,assam,2020,4,udalguri district,181878,415302655.27819014
144,assam,2020,4,majuli district,43480,69435583.78914571
145,assam,2020,4,sonitpur district,676306,1560923095.7659307
146,assam,2020,4,hojai district,224628,528926408.78015757
147,assam,2020,4,marigaon district,277304,736327079.8480828
148,assam,2020,4,chirang district,121011,281687589.58493227
149,assam,2020,4,cachar district,623731,1434767202.3488228
150,assam,2020,4,nalbari district,210966,464782209.23467815
151,assam,2020,4,west karbi anglong district,44259,80617646.24078932
152,assam,2020,4,dhemaji district,250452,567469583.0598263
153,assam,2020,4,karimganj district,309172,754661918.8881419
154,assam,2020,4,bongaigaon district,301859,724047412.765212
155,assam,2020,4,dima hasao district,110429,262165738.17960855
156,assam,2020,4,baksa district,253333,644108232.3336508
157,assam,2020,4,charaideo district,152117,356182476.76104593
158,assam,2020,4,darrang district,239602,682167456.1529416
159,assam,2020,4,kamrup metropolitan district,5300547,16105922899.456022
160,assam,2020,4,hailakandi district,189140,419018012.3664531
161,assam,2020,4,barpeta district,724763,2053361856.4779525
162,assam,2020,4,goalpara district,381733,1018165139.8396726
163,assam,2020,4,biswanath district,215627,472733035.60243803
164,assam,2020,4,jorhat district,400452,815676507.4744498
165,assam,2020,3,tinsukia district,442335,839411510.8503457
166,assam,2020,3,lakhimpur district,258450,431917438.40076566
167,assam,2020,3,kamrup district,445726,878646586.9277797
168,assam,2020,3,kokrajhar district,169456,354873433.7407801
169,assam,2020,3,karbi anglong district,186352,377558923.84267277
170,assam,2020,3,sivasagar district,213330,375381648.79175025
171,assam,2020,3,dibrugarh district,526945,1106487215.771987
172,assam,2020,3,south salmara mancachar district,76074,203318061.94884482
173,assam,2020,3,nagaon district,535675,1153926434.0592713
174,assam,2020,3,dhubri district,265528,574593610.2092601
175,assam,2020,3,golaghat district,278714,484885427.85811895
176,assam,2020,3,udalguri district,154549,312073789.4753115
177,assam,2020,3,majuli district,39125,56123804.82257187
178,assam,2020,3,sonitpur district,540972,1164586118.8388221
179,assam,2020,3,hojai district,175557,355628836.03412914
180,assam,2020,3,marigaon district,230540,512119251.2560668
