,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
95,assam,2022,2,Peer-to-peer payments,33879530,123829913105.31845
96,assam,2022,2,Merchant payments,28377534,24333260089.826862
97,assam,2022,2,Recharge & bill payments,13858113,4814695679.877083
98,assam,2022,2,Financial Services,50785,55549153.74320389
99,assam,2022,2,Others,168763,77624058.0178437
100,assam,2022,4,Peer-to-peer payments,44828832,150693397669.18314
101,assam,2022,4,Merchant payments,43605784,36033810141.574844
102,assam,2022,4,Recharge & bill payments,15344794,5773980885.270762
103,assam,2022,4,Financial Services,74414,75960367.91633397
104,assam,2022,4,Others,127443,76370123.60102956
105,assam,2022,3,Peer-to-peer payments,37000266,127264703851.96637
106,assam,2022,3,Merchant payments,34935460,28789992307.161205
107,assam,2022,3,Recharge & bill payments,13974568,5295136932.037907
108,assam,2022,3,Financial Services,65066,62882386.459812224
109,assam,2022,3,Others,138451,76363577.27323309
110,tripura,2023,1,Merchant payments,2991978,2538146159.0
111,tripura,2023,1,Peer-to-peer payments,2961284,10170883076.0
112,tripura,2023,1,Recharge & bill payments,1146228,565902758.0
113,tripura,2023,1,Financial Services,7716,6190362.0
114,tripura,2023,1,Others,11481,7160536.0
115,tripura,2023,2,Merchant payments,3654027,2936486824.0
116,tripura,2023,2,Peer-to-peer payments,3144448,10396364428.0
117,tripura,2023,2,Recharge & bill payments,1112236,570797284.0
118,tripura,2023,2,Financial Services,8100,8721399.0
119,tripura,2023,2,Others,10732,6760147.0
120,tripura,2020,1,Recharge & bill payments,449584,114355218.03514045
121,tripura,2020,1,Peer-to-peer payments,366218,1400694933.570157
122,tripura,2020,1,Merchant payments,102861,68590603.6377098
123,tripura,2020,1,Financial Services,1722,1066651.521721911
124,tripura,2020,1,Others,4117,4071399.6237732675
125,tripura,2020,2,Recharge & bill payments,600206,163220166.76643574
126,tripura,2020,2,Peer-to-peer payments,346863,1501452755.6890237
127,tripura,2020,2,Merchant payments,97816,99795973.60794038
128,tripura,2020,2,Financial Services,2904,2247782.5219734698
129,tripura,2020,2,Others,4731,2459205.000588993
130,tripura,2020,4,Peer-to-peer payments,650386,2683789889.83192
131,tripura,2020,4,Recharge & bill payments,631611,192385823.43220186
132,tripura,2020,4,Merchant payments,357567,296872485.4156503
133,tripura,2020,4,Financial Services,4084,3666639.308697606
134,tripura,2020,4,Others,8242,5416158.232838955
135,tripura,2020,3,Recharge & bill payments,627363,185201997.2796099
136,tripura,2020,3,Peer-to-peer payments,477769,1959371082.9173033
137,tripura,2020,3,Merchant payments,202106,190218136.2808841
138,tripura,2020,3,Financial Services,3828,3141391.5755430083
139,tripura,2020,3,Others,6819,3886908.1625436572
140,tripura,2019,1,Peer-to-peer payments,296993,679165332.8123899
141,tripura,2019,1,Recharge & bill payments,227997,44429378.42277926
142,tripura,2019,1,Merchant payments,46642,28109966.31994779
143,tripura,2019,1,Financial Services,4189,461473.58856435167
144,tripura,2019,1,Others,5105,4728790.472138839
145,tripura,2019,2,Peer-to-peer payments,240776,751113516.2256755
146,tripura,2019,2,Recharge & bill payments,218649,48989430.60730426
147,tripura,2019,2,Merchant payments,64829,35275706.82877502
148,tripura,2019,2,Financial Services,1899,339184.3344705297
149,tripura,2019,2,Others,6405,6103644.851151889
150,tripura,2019,4,Recharge & bill payments,373779,88001651.28693296
151,tripura,2019,4,Peer-to-peer payments,359076,1071507585.9983547
152,tripura,2019,4,Merchant payments,62458,51274033.720727704
153,tripura,2019,4,Financial Services,2239,377097.66713108413
154,tripura,2019,4,Others,4272,4239791.585043055
155,tripura,2019,3,Recharge & bill payments,339539,81845425.35425141
156,tripura,2019,3,Peer-to-peer payments,270163,884623553.9011384
157,tripura,2019,3,Merchant payments,68399,44802063.64430427
158,tripura,2019,3,Financial Services,27970,582020.9903208594
159,tripura,2019,3,Others,5646,5524358.927209696
160,tripura,2021,1,Peer-to-peer payments,643366,2821226150.5919185
161,tripura,2021,1,Recharge & bill payments,508718,173211140.89346513
162,tripura,2021,1,Merchant payments,350366,333743281.32103896
163,tripura,2021,1,Financial Services,3146,2879929.222833151
164,tripura,2021,1,Others,5827,4281067.764165951
165,tripura,2021,2,Peer-to-peer payments,703728,2865655130.4313264
166,tripura,2021,2,Recharge & bill payments,589839,189808502.9050523
167,tripura,2021,2,Merchant payments,440060,404915546.5177107
168,tripura,2021,2,Financial Services,3656,3503925.3381061675
169,tripura,2021,2,Others,7146,4271255.844077852
170,tripura,2021,4,Peer-to-peer payments,1060915,4368786747.103016
171,tripura,2021,4,Merchant payments,793636,874005407.7140213
172,tripura,2021,4,Recharge & bill payments,650251,241225282.07451886
173,tripura,2021,4,Financial Services,3635,5073898.6076811645
174,tripura,2021,4,Others,12256,7838128.800210228
175,tripura,2021,3,Peer-to-peer payments,864329,3491901741.1594186
176,tripura,2021,3,Recharge & bill payments,620991,215226019.57596284
177,tripura,2021,3,Merchant payments,584079,648504775.623629
178,tripura,2021,3,Financial Services,2886,3473153.087671739
179,tripura,2021,3,Others,8915,5028078.734792852
180,tripura,2018,1,Recharge & bill payments,86819,14079439.569905948
181,tripura,2018,1,Peer-to-peer payments,44844,112229994.97675678
182,tripura,2018,1,Financial Services,4842,672247.5881710155
183,tripura,2018,1,Merchant payments,4833,6080959.882836086
184,tripura,2018,1,Others,6819,4916272.512952799
185,tripura,2018,2,Recharge & bill payments,118171,22554398.15273035
186,tripura,2018,2,Peer-to-peer payments,73821,197666881.8729688
187,tripura,2018,2,Merchant payments,9621,10570951.151568789
188,tripura,2018,2,Financial Services,6925,1264101.904810368
189,tripura,2018,2,Others,6021,4835385.634057636
190,tripura,2018,4,Recharge & bill payments,204720,38334816.66379926
191,tripura,2018,4,Peer-to-peer payments,179739,549068822.3729683
192,tripura,2018,4,Merchant payments,50888,31066467.633390322
193,tripura,2018,4,Financial Services,6441,1023126.8205747404
194,tripura,2018,4,Others,6271,5392365.973713988
195,tripura,2018,3,Peer-to-peer payments,186065,398867427.32463384
