,State,Year,Quarter,District_Pincode,Transaction_count,Transaction_amount
114,assam,2021,2,781038,156202,329131794.605857
115,assam,2021,2,781028,141496,376162457.3692011
116,assam,2021,2,781319,141071,380180308.0508309
117,assam,2021,2,781001,140945,344252530.57261163
118,assam,2021,2,783330,140014,436650824.6769772
119,assam,2021,2,781039,138550,131928199.0376262
120,assam,2021,4,781009,16779607,36391151860.79283
121,assam,2021,4,786001,589421,1306149293.232204
122,assam,2021,4,781032,478852,833712155.0773808
123,assam,2021,4,781022,476771,875944174.2396414
124,assam,2021,4,781001,350899,765800172.2543352
125,assam,2021,4,781038,326950,624753356.359648
126,assam,2021,4,781028,293043,655881497.7437193
127,assam,2021,4,781316,285464,789572479.0883284
128,assam,2021,4,781319,279718,685350696.6633132
129,assam,2021,4,781019,258000,438702563.555657
130,assam,2021,3,781009,12729978,27464031964.343338
131,assam,2021,3,786001,427258,967975521.6469452
132,assam,2021,3,781032,317420,611161689.2896398
133,assam,2021,3,781022,306809,640424297.5125268
134,assam,2021,3,781038,228604,464233898.47619295
135,assam,2021,3,781001,214826,510386365.51873195
136,assam,2021,3,781028,202529,500653116.2649457
137,assam,2021,3,781011,185134,430608615.9835314
138,assam,2021,3,781316,184851,502029448.6452037
139,assam,2021,3,781319,181532,432011296.62647235
140,assam,2018,1,782127,36278,55685104.31004669
141,assam,2018,1,782126,19015,29531618.71952273
142,assam,2018,1,781010,17827,17537571.597366832
143,assam,2018,1,781032,12544,16344758.303072494
144,assam,2018,1,781039,12320,11675419.253198598
145,assam,2018,1,781022,11160,21394161.557452165
146,assam,2018,1,781001,10964,14211878.220937155
147,assam,2018,1,781005,9017,11227244.310914159
148,assam,2018,1,781038,8676,13458100.482520536
149,assam,2018,1,782123,8395,9021445.995110027
150,assam,2018,2,782127,48384,116170095.69804743
151,assam,2018,2,781010,28765,34543064.75993969
152,assam,2018,2,781032,23020,37069985.80605326
153,assam,2018,2,782126,21573,43770461.5297259
154,assam,2018,2,781022,18670,42156397.49324472
155,assam,2018,2,781001,16484,28303495.144346286
156,assam,2018,2,781039,16265,16302454.69364266
157,assam,2018,2,781038,14557,27844594.363439623
158,assam,2018,2,781308,13501,14412327.173391042
159,assam,2018,2,782123,13067,12434331.737019075
160,assam,2018,4,782123,191097,40365958.68121323
161,assam,2018,4,782127,59167,55990370.032198705
162,assam,2018,4,781032,51149,98762225.01484658
163,assam,2018,4,782003,48402,33450786.817610316
164,assam,2018,4,781022,44539,104401373.29655467
165,assam,2018,4,781010,43288,77616354.09688722
166,assam,2018,4,782126,38675,31863173.323863033
167,assam,2018,4,781001,35778,72836714.43961805
168,assam,2018,4,781319,34279,45240498.09739684
169,assam,2018,4,781038,31676,62489723.74664806
170,assam,2018,3,781010,53744,63112506.38368155
171,assam,2018,3,782127,34599,82030505.12567952
